id,location_lat,location_lon,city_id,city_name_ar,city_name_en,region_id,region_key,region_name_ar,region_name_en,region_order_sequence,availability,available_units_count,available_units_for_auctions_count,basement,bookable,city_order_sequence,delegated_by_broker,developer_name,driver_room,elevator,group_unit_id,maid_room,max_area,max_bathroom,max_bed_room,max_price,max_street_width,max_unit_age,min_area,min_bathroom,min_bed_room,min_price,min_street_width,min_unit_age,pool,project_name,project_type,promoted,publish,publish_date,resource_id,resource_type,subsidizable,type,under_construction_status,unit_types_0,unit_types_1,unit_types_2,use_register_interest_flag,views_count
project_1044,24.560109,46.519438,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,1,14,0,0,1,0,0,شركة المسكن المحدودة,0,0,0,0,196.54,0,3,780000,0,0,177,0,3,550000,0,0,0,المسكن ١٢ - الرياض,offplan_private_land,0,1,2022-08-30,1044,projects,1,marketplaces,under_construction,apartment,,,0,1039
project_1033,24.793165,46.633768,14,الرياض,AR RIYADH,1,riyadh,الرياض,Riyadh,0,1,0,0,0,1,0,0,شركة جود العمارة للتطوير والاستثمار العقاري,0,0,0,0,331.01,0,3,2613750,0,0,110.8,0,2,1076250,0,0,0,جلامور - الرياض,offplan_private_land,0,1,2022-08-29,1033,projects,1,marketplaces,under_construction,apartment,,,0,1837
project_681,24.058337,42.836919,3025,عفيف,AFIF,1,riyadh,الرياض,Riyadh,0,1,61,0,0,1,0,0,,0,0,0,0,1260,0,1,0,0,0,556.5,0,1,0,0,0,0,مخطط 879  - العيدانية,lands_moh_land,0,1,2022-06-30,681,projects,1,marketplaces,,land,,,0,5995
project_378,18.446355,42.098271,3274,محايل,MUHAYIL,7,asir,عسير,"'Asir",0,0,0,0,0,1,0,0,,0,0,0,0,551.252,0,1,0,0,0,476.212,0,1,0,0,0,0,مخطط جوهرة محايل - عسير,lands_moh_land,0,1,2022-01-20,378,projects,1,marketplaces,,land,,,0,372872
project_386,24.545443,44.404584,716,الدوادمي,AD DUWADIMI,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,,0,0,0,0,945.05,0,1,0,0,0,400,0,1,0,0,0,0,مخطط طيبة العليا - الدوادمي,lands_moh_land,0,1,2022-01-20,386,projects,1,marketplaces,,land,,,0,50459
project_393,26.182713,43.614401,24,البكيرية,AL BUKAYRIYAH,5,qassim,القصيم,Qassim,0,0,0,0,0,1,0,0,,0,0,0,0,643.36,0,1,0,0,0,421.31,0,1,0,0,0,0,مخطط زهرة البكيرية - البكيرية,lands_moh_land,0,1,2022-01-20,393,projects,1,marketplaces,,land,,,0,67735
project_395,30.356711,42.249882,1343,العويقلية,AL UWAYQILAH,12,northern_borders,الحدود الشمالية,Northern Borders,0,0,0,0,0,1,0,0,,0,0,0,0,573.2601,0,1,0,0,0,450,0,1,0,0,0,0,مخطط الورود - العويقلية,lands_moh_land,0,1,2022-01-20,395,projects,1,marketplaces,,land,,,0,5408
project_389,19.18114,41.195385,1587,القنفذة,AL QUNFIDHAH,2,makkah,مكة المكرمة,Makkah,0,0,0,0,0,1,0,0,,0,0,0,0,502.000000024,0,1,0,0,0,500.999589796,0,1,0,0,0,0,مخطط الرفاة - القنفذة,lands_moh_land,0,1,2022-01-20,389,projects,1,marketplaces,,land,,,0,172120
project_397,16.867972,42.957302,44,ابو عريش,ABU ARISH,8,jizan,جازان,Jizan,0,0,0,0,0,1,0,0,,0,0,0,0,779,0,1,0,0,0,600.63,0,1,0,0,0,0,مخطط إسكان أبو عريش - أبو عريش,lands_moh_land,0,1,2022-01-20,397,projects,1,marketplaces,,land,,,0,14543
project_402,22.279591,46.713575,3259,ليلى,LAYLA,1,riyadh,الرياض,Riyadh,0,0,0,0,0,1,0,0,,0,0,0,0,865.4163,0,1,0,0,0,598.75,0,1,0,0,0,0,مخطط إسكان الأفلاج - الأفلاج,lands_moh_land,0,1,2022-01-20,402,projects,1,marketplaces,,land,,,0,8000
project_400,22.33625,39.822513,1612,الكامل,AL KAMIL,2,makkah,مكة المكرمة,Makkah,0,0,0,0,0,1,0,0,,0,0,0,0,450,0,1,0,0,0,450,0,1,0,0,0,0,مخطط إسكان الكامل - الكامل,lands_moh_land,0,1,2022-01-20,400,projects,1,marketplaces,,land,,,0,50452
project_398,27.22034,42.446524,48,الشنان,ASH SHINAN,6,hail,حائل,"Ha'il",0,0,0,0,0,1,0,0,,0,0,0,0,560,0,1,0,0,0,475,0,1,0,0,0,0,مخطط إسكان الشنان - الشنان,lands_moh_land,0,1,2022-01-20,398,projects,1,marketplaces,,land,,,0,6600
project_404,23.792337,38.724246,2340,بدر,BADR,3,madinah,المدينة المنورة,Madinah,0,0,0,0,0,1,0,0,,0,0,0,0,450,0,1,0,0,0,450,0,1,0,0,0,0,مخطط إسكان بدر - بدر,lands_moh_land,0,1,2022-01-20,404,projects,1,marketplaces,,land,,,0,19030
project_728,24.54346,43.958677,716,الدوادمي,AD DUWADIMI,1,riyadh,الرياض,Riyadh,0,1,353,0,0,1,0,0,,0,0,0,0,1336.74843661115,0,1,0,0,0,580.871898192912,0,1,0,0,0,0,144 - وادي الرشاء,lands_moh_land,0,1,2022-06-30,728,projects,1,marketplaces,,land,,,0,5253
project_407,27.508793,41.77225,49,حائل,HAIL,6,hail,حائل,"Ha'il",0,0,0,0,0,1,0,0,,0,0,0,0,669.31,0,1,0,0,0,421.46,0,1,0,0,0,0,مخطط إسكان حائل - حائل,lands_moh_land,0,1,2022-01-20,407,projects,1,marketplaces,,land,,,0,123779
project_408,27.619375,38.490426,42,تيماء,"TAYMA'",11,tabuk,تبوك,Tabuk,0,0,0,0,0,1,0,0,,0,0,0,0,515.5,0,1,0,0,0,460,0,1,0,0,0,0,مخطط إسكان تيماء - تيماء,lands_moh_land,0,1,2022-01-20,408,projects,1,marketplaces,,land,,,0,27299
project_411,29.807707,40.167496,6,سكاكا,SAKAKA,13,jawf,الجوف,Jawf,0,0,0,0,0,1,0,0,,0,0,0,0,777.067,0,1,0,0,0,479.995,0,1,0,0,0,0,مخطط إسكان سكاكا 2 - سكاكا,lands_moh_land,0,1,2022-01-20,411,projects,1,marketplaces,,land,,,0,27008
project_410,26.060963,44.095049,20,عنيزة,UNAYZAH,5,qassim,القصيم,Qassim,0,0,0,0,0,1,0,0,,0,0,0,0,541.25,0,1,0,0,0,497,0,1,0,0,0,0,مخطط إسكان عنيزة - عنيزة,lands_moh_land,0,1,2022-01-20,410,projects,1,marketplaces,,land,,,0,1675753
project_413,31.013132,41.054961,8,عرعر,"AR'AR",12,northern_borders,الحدود الشمالية,Northern Borders,0,0,0,0,0,1,0,0,,0,0,0,0,500,0,1,0,0,0,492,0,1,0,0,0,0,مخطط إسكان عرعر - عرعر,lands_moh_land,0,1,2022-01-20,413,projects,1,marketplaces,,land,,,0,17726
project_424,27.019028,47.051472,3167,قرية (قرية العليا),"QARYAT AL 'ULYA",4,eastern_province,المنطقة الشرقية,Eastern Province,0,1,5,0,0,1,0,0,,0,0,0,0,1000,0,1,0,0,0,600,0,1,0,0,0,0,مخطط العليا - قرية العليا,lands_moh_land,0,1,2022-01-20,424,projects,1,marketplaces,,land,,,0,23036
