id,city_name_ar,city_name_en,region_name_ar,region_name_en,availability,available_units,available_auctions_units,bookable,developer_name,max_area,max_bed_room,max_price,min_area,min_bed_room,min_price,project_name,project_type,publish_date,construction_status,unit_type,views_count,location
project_1044,الرياض,AR RIYADH,الرياض,Riyadh,1,14,0,1,شركة المسكن المحدودة,196.54,3,780000.0,177.0,3,550000.0,المسكن ١٢ - الرياض,offplan_private_land,2022-08-30,under_construction,apartment,1039,"24.560109,46.519438"
project_1033,الرياض,AR RIYADH,الرياض,Riyadh,1,0,0,1,شركة جود العمارة للتطوير والاستثمار العقاري,331.01,3,2613750.0,110.8,2,1076250.0,جلامور - الرياض,offplan_private_land,2022-08-29,under_construction,apartment,1837,"24.793165,46.633768"
project_681,عفيف,AFIF,الرياض,Riyadh,1,61,0,1,لا يوجد مدخل,1260.0,1,0.0,556.5,1,0.0,مخطط 879  - العيدانية,lands_moh_land,2022-06-30,no entry,land,5995,"24.058337,42.836919"
project_378,محايل,MUHAYIL,عسير,'Asir,0,0,0,1,لا يوجد مدخل,551.252,1,0.0,476.212,1,0.0,مخطط جوهرة محايل - عسير,lands_moh_land,2022-01-20,no entry,land,372872,"18.446355,42.098271"
project_386,الدوادمي,AD DUWADIMI,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,945.05,1,0.0,400.0,1,0.0,مخطط طيبة العليا - الدوادمي,lands_moh_land,2022-01-20,no entry,land,50459,"24.545443,44.404584"
project_393,البكيرية,AL BUKAYRIYAH,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,643.36,1,0.0,421.31,1,0.0,مخطط زهرة البكيرية - البكيرية,lands_moh_land,2022-01-20,no entry,land,67735,"26.182713,43.614401"
project_395,العويقلية,AL UWAYQILAH,الحدود الشمالية,Northern Borders,0,0,0,1,لا يوجد مدخل,573.2601,1,0.0,450.0,1,0.0,مخطط الورود - العويقلية,lands_moh_land,2022-01-20,no entry,land,5408,"30.356711,42.249882"
project_389,القنفذة,AL QUNFIDHAH,مكة المكرمة,Makkah,0,0,0,1,لا يوجد مدخل,502.000000024,1,0.0,500.999589796,1,0.0,مخطط الرفاة - القنفذة,lands_moh_land,2022-01-20,no entry,land,172120,"19.18114,41.195385"
project_397,ابو عريش,ABU ARISH,جازان,Jizan,0,0,0,1,لا يوجد مدخل,779.0,1,0.0,600.63,1,0.0,مخطط إسكان أبو عريش - أبو عريش,lands_moh_land,2022-01-20,no entry,land,14543,"16.867972,42.957302"
project_402,ليلى,LAYLA,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,865.4163,1,0.0,598.75,1,0.0,مخطط إسكان الأفلاج - الأفلاج,lands_moh_land,2022-01-20,no entry,land,8000,"22.279591,46.713575"
project_400,الكامل,AL KAMIL,مكة المكرمة,Makkah,0,0,0,1,لا يوجد مدخل,450.0,1,0.0,450.0,1,0.0,مخطط إسكان الكامل - الكامل,lands_moh_land,2022-01-20,no entry,land,50452,"22.33625,39.822513"
project_398,الشنان,ASH SHINAN,حائل,Ha'il,0,0,0,1,لا يوجد مدخل,560.0,1,0.0,475.0,1,0.0,مخطط إسكان الشنان - الشنان,lands_moh_land,2022-01-20,no entry,land,6600,"27.22034,42.446524"
